idAlbum,album_name,tracks,genre,album_duration,release_date,idArtist
1,Garth Brooks,10,Country,0:33:23,4/12/1989,7
2,No Fences,10,Country,0:34:34,8/27/1990,7
3,Ropin the Wind,10,Country,0:36:37,9/10/1991,7
4,Beyond the Season,11,Country/Holiday,0:33:36,8/17/1992,7
5,The Chase,10,Country,0:36:59,9/14/1992,7
6,Nevermind,12,Rock,0:42.36,9/24/1991,10
7,In Utero,12,Rock,0:41:21,9/21/1993,10
8,Incesticide,15,Rock,0:44:41,12/14/1992,10
9,Nirvana,14,Rock,0:49:38,10/29/2002,10
10,Bleach,13,Rock,0:37:19,6/15/1989,10
11,Nasir,7,HipHip/Rap,0:26:29,6/15/2018,4
12,King’s Disease,13,HipHip/Rap,12:38:13,8/21/2020,4
13,Illmatic,10,HipHip/Rap,39:51:00,4/19/1994,4
14,Magic,9,HipHip/Rap,0:29:16,12/24/2021,4
15,King’s Disease 3,17,HipHip/Rap,0:51:54,11/11/2022,4
16,Ready to Die,19,HipHip/Rap,1:09:05,9/13/1994,5
17,Life After Death,14,HipHip/Rap,1:49:28,3/4/1997,5
18,Born Again,18,HipHip/Rap,1:15:19,12/7/1999,5
19,Duets: The Final Chapter,22,HipHip/Rap,1:10:11,12/13/2005,5
20,The King & I,25,HipHip/Rap,2:21:06,5/19/2017,5
21,Until the End of Time,29,HipHip/Rap,2:04:05,1/1/2001,6
22,Better Dayz,26,HipHip/Rap,1:52:21,1/1/2002,6
23,Tupac: Resurrection,14,HipHip/Rap,0:55:04,11/11/2003,6
24,Loyal to the Game,17,HipHip/Rap,1:05:10,1/1/2004,6
25,Invincible,16,Pop/R&B/Soul,1:17:01,10/30/2001,1
26,"History: Past, Present, and Future, Book I",30,Pop/R&B/HipHop,2:28:51,6/20/1995,1
27,Dangerous,14,Pop/R&B,1:17:03,11/26/1991,1
28,Bad,8,Pop/Rock/R&B/Soul,0:48:40,8/31/1987,1
29,Thriller,9,Pop/Post-Disco/R&B/Rock,0:42:46,11/30/1982,1
30,Caution,10,Pop/R&B/HipHop,0:45:48,11/16/2018,2
31,Me. I Am Mariah... The Ellusive Chanteuse,18,Pop,1:02:42,5/6/2014,2
32,Merry Christmas II You,14,Pop,0:46:53,11/2/2010,2
33,Memoirs of an Imperfect Angel,17,Pop/R&B,0:54:11,9/22/2009,2
34,E=MC^2,16,Pop/R&B/HipHop,0:52:14,4/14/2008,2
35,Madame X,13,Pop/Trap,0:56:01,6/14/2019,3
36,Rebel Heart,14,Pop,0:55:06,3/6/2015,3
37,MDNA,12,Pop/EDM,0:50:47,3/23/2012,3
38,Hard Candy,12,Pop,0:56:22,4/19/2008,3
39,Confessions on a Dance Floor,12,Pop/EDM,0:56:28,11/9/2005,3
40,Pure Country,12,Country,0:33:42,9/15/1992,9
41,Somewhere down in Texas,10,Country,0:56:59,6/28/2005,9
42,Straight from the Heart,10,Country,0:47:19,6/3/1982,9
43,Troubador,14,Country,0:51:58,4/1/2008,9
44,Does Fort Worth Ever Cross Your Mind,10,Country,0:28:24,9/26/1984,9
45,Alice in Chains,12,Rock,1:04:48,11/7/1995,11
46,Dirt,13,Rock,0:57:37,9/29/1992,11
47,Black Gives Way to Blue,13,Rock,0:54:12,9/29/2009,11
48,Jar of Flies,7,Rock,0:30:49,1/25/1994,11
49,Facelift,12,Rock,0:54:02,7/21/1990,11
50,Superunkown,9,Rock,1:10:13,3/8/1994,12
51,Badmotorfinger,12,Rock,0:57:42,10/8/1991,12
52,Down on the Upside,16,Rock,1:05:56,5/21/1996,12
53,Louder Than Love,12,Rock,0:54:15,9/5/1989,12
54,King Animal,13,Rock,0:52:01,11/13/2012,12
55,Now,16,Country,0:41:25,9/29/2017,8
56,The Woman in Me,12,Country,0:48:08,2/7/1995,8
57,For the Love of Him,12,Country,0:53:35,11/19/1999,8
58,Shania Twain,10,Country,0:30:41,4/20/1993,8
59,Come on Over,16,Country,1:00:06,11/4/1997,8
60,Age Ain't Nothing but a Number,13,R&B,0:48:54,5/24/1994,13
61,One in a Million,17,R&B,1:13:18,8/13/1996,13
62,Aaliyah,15,R&B,1:01:10,7/7/2001,13
63,Ooooooohhh On the TLC Tip,15,R&B,0:55:32,2/25/1992,14
64,CrazySexyCool,16,R&B,0:56:10,11/15/1994,14
65,CrazyVideoCool,10,R&B,0:29:08,11/7/1995,14
66,FanMail,17,R&B,1:03:31,2/23/1999,14
67,3D,13,R&B,0:49:32,10/10/2002,14
68,It's About Time,15,R&B,1:00:09,10/27/1992,15
69,The Remixes,6,R&B,0:30:21,5/10/1994,15
70,New Beginning,17,R&B,1:06:41,4/23/1996,15
71,Release Some Tension,12,R&B,0:53:15,7/29/1997,15
72,A Special Christmas,11,R&B/Holiday,0:42:20,11/18/1997,15